# fibo_rank time
0 0.39272727272727276
1 0.3572727272727272
2 0.3518181818181818
3 0.350909090909091
4 0.35454545454545455
5 0.3518181818181818
6 0.3527272727272728
7 0.35363636363636364
8 0.3663636363636363
9 0.36727272727272725
10 0.3718181818181818
11 0.38272727272727264
12 0.3936363636363636
13 0.41818181818181815
14 0.4518181818181819
15 0.5118181818181817
16 0.6054545454545455
17 0.7609090909090909
18 1.018181818181818
19 1.4327272727272726
20 2.1336363636363638
21 3.2681818181818185
22 5.071818181818182
23 8.153636363636364
24 12.971818181818184
25 21.171818181818182
26 34.18272727272727
27 55.64363636363637
28 89.89909090909092
