# fibo_rank time
1 0.17333333333333334
2 0.17
3 0.16666666666666666
4 0.16333333333333333
5 0.17
6 0.17
7 0.17
8 0.17
9 0.17
10 0.17333333333333334
11 0.17
12 0.17666666666666667
13 0.17333333333333334
14 0.17333333333333334
15 0.17666666666666667
16 0.18000000000000002
17 0.16666666666666666
18 0.18000000000000002
19 0.18333333333333335
20 0.19000000000000003
21 0.20333333333333337
22 0.21666666666666667
23 0.24666666666666667
24 0.29000000000000004
25 0.3633333333333333
26 0.49333333333333335
27 0.67
28 0.9933333333333333
29 1.4866666666666666
30 2.3000000000000003
31 3.7533333333333334
32 5.816666666666666
33 9.180000000000001
34 14.67
35 23.936666666666667
36 38.919999999999995
37 62.85333333333333
38 101.80666666666667
