# fibo_rank time
1 0.35000000000000003
2 0.34909090909090906
3 0.35363636363636364
4 0.35000000000000003
5 0.3527272727272728
6 0.35090909090909095
7 0.35090909090909095
8 0.350909090909091
9 0.3527272727272728
10 0.35000000000000003
11 0.35000000000000003
12 0.34636363636363643
13 0.35181818181818186
14 0.35090909090909095
15 0.350909090909091
16 0.3527272727272727
17 0.35000000000000003
18 0.35181818181818186
19 0.36181818181818176
20 0.36090909090909085
21 0.36090909090909085
22 0.3627272727272727
23 0.36272727272727273
24 0.3654545454545454
25 0.37000000000000005
26 0.3718181818181818
27 0.3781818181818182
28 0.3890909090909092
29 0.4018181818181819
30 0.42818181818181816
31 0.47272727272727266
32 0.5409090909090909
33 0.6518181818181819
34 0.8309090909090909
35 1.1218181818181818
36 1.5963636363636367
37 2.3581818181818184
38 3.5899999999999994
39 5.58090909090909
40 8.82090909090909
41 14.022727272727273
42 22.48636363636364
43 36.183636363636374
44 58.42818181818182
45 94.37
46 152.08666666666667
47 246.82666666666668
