# fibo_rank time
0 0.4318181818181819
1 0.3654545454545455
2 0.36727272727272725
3 0.3645454545454545
4 0.3645454545454545
5 0.35999999999999993
6 0.3645454545454545
7 0.3627272727272727
8 0.3645454545454545
9 0.3618181818181818
10 0.36090909090909085
11 0.36181818181818176
12 0.3627272727272727
13 0.35999999999999993
14 0.36181818181818176
15 0.3654545454545454
16 0.36727272727272725
17 0.3654545454545455
18 0.3645454545454545
19 0.3609090909090909
20 0.3636363636363636
21 0.36272727272727273
22 0.3663636363636363
23 0.3645454545454545
24 0.36909090909090914
25 0.36909090909090914
26 0.3772727272727273
27 0.38090909090909086
28 0.390909090909091
29 0.4100000000000001
30 0.4327272727272728
31 0.47818181818181815
32 0.5518181818181818
33 0.6709090909090909
34 0.8536363636363636
35 1.1572727272727272
36 1.6527272727272726
37 2.4481818181818182
38 3.74
39 5.823636363636364
40 9.205454545454547
41 14.672727272727274
42 23.523636363636363
43 37.844545454545454
44 60.99181818181819
45 98.48
46 159.14545454545458
47 257.2872727272727
48 416.08
49 672.97
