# fibo_rank time
0 0.0
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0009090909090909091
12 0.009999999999999998
13 0.009999999999999998
14 0.01909090909090909
15 0.039999999999999994
16 0.05090909090909091
17 0.07272727272727274
18 0.10636363636363638
19 0.14545454545454548
20 0.20727272727272725
21 0.3136363636363636
22 0.47818181818181815
23 0.7536363636363635
24 1.202727272727273
25 1.920909090909091
26 3.090909090909091
27 4.962727272727272
28 8.016363636363636
29 12.94
30 20.917272727272728
31 33.830909090909095
32 54.78090909090909
33 88.63000000000001
